present,past,p.p,pastsentence,p.psentence
arise,arose,arisen,He arose the ball to me during the game.,Passive: The homework was arisen by the teacher. | Present Perfect: She has arisen already finished her dinner. | Past Perfect: I had arisen seen that movie before.
awake,awoke,awoken,He awoke the ball to me during the game.,Passive: The homework was awoken by the teacher. | Present Perfect: She has awoken already finished her dinner. | Past Perfect: I had awoken seen that movie before.
bear,bore,borne/born,He bore the ball to me during the game.,Passive: The homework was borne/born by the teacher. | Present Perfect: She has borne/born already finished her dinner. | Past Perfect: I had borne/born seen that movie before.
beat,beat,beaten,He beat the ball to me during the game.,Passive: The homework was beaten by the teacher. | Present Perfect: She has beaten already finished her dinner. | Past Perfect: I had beaten seen that movie before.
become,became,become,He became the ball to me during the game.,Passive: The homework was become by the teacher. | Present Perfect: She has become already finished her dinner. | Past Perfect: I had become seen that movie before.
begin,began,begun,He began the ball to me during the game.,Passive: The homework was begun by the teacher. | Present Perfect: She has begun already finished her dinner. | Past Perfect: I had begun seen that movie before.
bend,bent,bent,He bent the ball to me during the game.,Passive: The homework was bent by the teacher. | Present Perfect: She has bent already finished her dinner. | Past Perfect: I had bent seen that movie before.
bet,bet,bet,He bet the ball to me during the game.,Passive: The homework was bet by the teacher. | Present Perfect: She has bet already finished her dinner. | Past Perfect: I had bet seen that movie before.
bid,bid,bid,He bid the ball to me during the game.,Passive: The homework was bid by the teacher. | Present Perfect: She has bid already finished her dinner. | Past Perfect: I had bid seen that movie before.
bind,bound,bound,He bound the ball to me during the game.,Passive: The homework was bound by the teacher. | Present Perfect: She has bound already finished her dinner. | Past Perfect: I had bound seen that movie before.
bite,bit,bitten,He bit the ball to me during the game.,Passive: The homework was bitten by the teacher. | Present Perfect: She has bitten already finished her dinner. | Past Perfect: I had bitten seen that movie before.
bleed,bled,bled,He bled the ball to me during the game.,Passive: The homework was bled by the teacher. | Present Perfect: She has bled already finished her dinner. | Past Perfect: I had bled seen that movie before.
blow,blew,blown,He blew the ball to me during the game.,Passive: The homework was blown by the teacher. | Present Perfect: She has blown already finished her dinner. | Past Perfect: I had blown seen that movie before.
break,broke,broken,He broke the ball to me during the game.,Passive: The homework was broken by the teacher. | Present Perfect: She has broken already finished her dinner. | Past Perfect: I had broken seen that movie before.
bring,brought,brought,He brought the ball to me during the game.,Passive: The homework was brought by the teacher. | Present Perfect: She has brought already finished her dinner. | Past Perfect: I had brought seen that movie before.
build,built,built,He built the ball to me during the game.,Passive: The homework was built by the teacher. | Present Perfect: She has built already finished her dinner. | Past Perfect: I had built seen that movie before.
burst,burst,burst,He burst the ball to me during the game.,Passive: The homework was burst by the teacher. | Present Perfect: She has burst already finished her dinner. | Past Perfect: I had burst seen that movie before.
buy,bought,bought,He bought the ball to me during the game.,Passive: The homework was bought by the teacher. | Present Perfect: She has bought already finished her dinner. | Past Perfect: I had bought seen that movie before.
catch,caught,caught,He caught the ball to me during the game.,Passive: The homework was caught by the teacher. | Present Perfect: She has caught already finished her dinner. | Past Perfect: I had caught seen that movie before.
choose,chose,chosen,He chose the ball to me during the game.,Passive: The homework was chosen by the teacher. | Present Perfect: She has chosen already finished her dinner. | Past Perfect: I had chosen seen that movie before.
come,came,come,He came the ball to me during the game.,Passive: The homework was come by the teacher. | Present Perfect: She has come already finished her dinner. | Past Perfect: I had come seen that movie before.
cost,cost,cost,He cost the ball to me during the game.,Passive: The homework was cost by the teacher. | Present Perfect: She has cost already finished her dinner. | Past Perfect: I had cost seen that movie before.
cut,cut,cut,He cut the ball to me during the game.,Passive: The homework was cut by the teacher. | Present Perfect: She has cut already finished her dinner. | Past Perfect: I had cut seen that movie before.
deal,dealt,dealt,He dealt the ball to me during the game.,Passive: The homework was dealt by the teacher. | Present Perfect: She has dealt already finished her dinner. | Past Perfect: I had dealt seen that movie before.
dig,dug,dug,He dug the ball to me during the game.,Passive: The homework was dug by the teacher. | Present Perfect: She has dug already finished her dinner. | Past Perfect: I had dug seen that movie before.
do,did,done,He did the ball to me during the game.,Passive: The homework was done by the teacher. | Present Perfect: She has done already finished her dinner. | Past Perfect: I had done seen that movie before.
